Pollutant,Model / Pipeline,R2 Score,RMSE (mol/m^2),Pearson r,SSIM,FSS (9x9),CSI_q90,POD_q90,Mass Conservation Error (%)
NO2,Stage 1: Climatology Baseline (Anomaly=0),0.5315876007080078,7.861668921108693e-06,0.7402564240441906,0.7356439963227412,0.6427421750592404,0.2987339045902077,0.3627967170904033,4.577815532684326
NO2,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.0179827213287353,1.1589660715040797e-05,0.5115261542837218,0.607156303329546,0.6294511429599075,0.2261088199214122,0.4130665802488288,4.30721640586853
NO2,Stage 2: Gradient Boosted Anomaly Regressor,0.5203782310652919,7.955179423821403e-06,0.7370961486483664,0.7304359762395014,0.6349852808186265,0.2920480514480466,0.3497986985045361,5.860246993468621
CO,Stage 1: Climatology Baseline (Anomaly=0),0.682978093624115,0.0038225461559889,0.8344060984307748,0.7116985882891983,0.3468678974714435,0.0941357340608747,0.2072738263855248,1.4716267585754397
CO,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.5237549543380737,0.0083804175999549,0.5224376386224677,0.5775766499706956,0.395957310180195,0.0965600099902172,0.2949420901790699,5.470895767211914
CO,Stage 2: Gradient Boosted Anomaly Regressor,0.645259140081605,0.0040435582310775,0.8178680985200522,0.6735882588097306,0.3563541256990589,0.0861999959932987,0.2121932566643377,1.8365572739243552
SO2,Stage 1: Climatology Baseline (Anomaly=0),0.0591678023338317,0.0001317316521863,0.2845393074433968,0.2886106810364567,0.5235491536679815,0.0840509447428976,0.1123575232124926,0.2495765686035156
SO2,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.6721706390380859,0.0001756201574799,0.0962484106032764,0.2289311358796768,0.4998924932518943,0.0709083300513423,0.1313962827519707,27.16977596282959
SO2,Stage 2: Gradient Boosted Anomaly Regressor,0.0571893277906814,0.0001318700915608,0.2808519884077702,0.2865673597352426,0.5309751942509511,0.0855412944245689,0.1172981681959874,2.291186754105845
NO2,Regularized Ridge Regression (Linear),0.5170040130615234,7.983112842068214e-06,0.739291879855918,0.7341372971651984,0.6280498387383633,0.2902929095584407,0.3432651012189286,6.750994920730591
NO2,Harmonic + Climate Indices (ENSO/IOD),0.4226968288421631,8.727753743942608e-06,0.7345788056107396,0.7235582966784961,0.5249793861733109,0.24505403300561035,0.27087595409996895,16.912639141082764
CO,Regularized Ridge Regression (Linear),0.675459623336792,0.003867608171330974,0.833002479007611,0.7095220807145853,0.34333624116709976,0.09520211895235439,0.20875537436780306,1.7309904098510742
CO,Harmonic + Climate Indices (ENSO/IOD),0.6872494220733643,0.0037967074107753064,0.8350037952416459,0.7105559230339332,0.31122305451846516,0.0861136444723272,0.18990926808937275,1.6091227531433105
SO2,Regularized Ridge Regression (Linear),0.058949828147888184,0.00013174691593972364,0.2813398243457335,0.2880424531634714,0.5310353758882304,0.0850912406479285,0.11602137404805472,2.357363700866699
SO2,Harmonic + Climate Indices (ENSO/IOD),-0.016810297966003418,0.00013694747281056989,0.2895739354392456,0.3041434843154227,0.40479193114843526,0.0729482739695675,0.08883706929674864,21.91029191017151
